country,year,co2_mt,coal_mt,oil_mt,cement_mt,gas_mt,flaring_mt
ABW,1850,0,0,0,0,0,0
ABW,1851,0,0,0,0,0,0
ABW,1852,0,0,0,0,0,0
ABW,1853,0,0,0,0,0,0
ABW,1854,0,0,0,0,0,0
ABW,1855,0,0,0,0,0,0
ABW,1856,0,0,0,0,0,0
ABW,1857,0,0,0,0,0,0
ABW,1858,0,0,0,0,0,0
ABW,1859,0,0,0,0,0,0
ABW,1860,0,0,0,0,0,0
ABW,1861,0,0,0,0,0,0
ABW,1862,0,0,0,0,0,0
ABW,1863,0,0,0,0,0,0
ABW,1864,0,0,0,0,0,0
ABW,1865,0,0,0,0,0,0
ABW,1866,0,0,0,0,0,0
ABW,1867,0,0,0,0,0,0
ABW,1868,0,0,0,0,0,0
ABW,1869,0,0,0,0,0,0
ABW,1870,0,0,0,0,0,0
ABW,1871,0,0,0,0,0,0
ABW,1872,0,0,0,0,0,0
ABW,1873,0,0,0,0,0,0
ABW,1874,0,0,0,0,0,0
ABW,1875,0,0,0,0,0,0
ABW,1876,0,0,0,0,0,0
ABW,1877,0,0,0,0,0,0
ABW,1878,0,0,0,0,0,0
ABW,1879,0,0,0,0,0,0
ABW,1880,0,0,0,0,0,0
ABW,1881,0,0,0,0,0,0
ABW,1882,0,0,0,0,0,0
ABW,1883,0,0,0,0,0,0
ABW,1884,0,0,0,0,0,0
ABW,1885,0,0,0,0,0,0
ABW,1886,0,0,0,0,0,0
ABW,1887,0,0,0,0,0,0
ABW,1888,0,0,0,0,0,0
ABW,1889,0,0,0,0,0,0
ABW,1890,0,0,0,0,0,0
ABW,1891,0,0,0,0,0,0
ABW,1892,0,0,0,0,0,0
ABW,1893,0,0,0,0,0,0
ABW,1894,0,0,0,0,0,0
ABW,1895,0,0,0,0,0,0
ABW,1896,0,0,0,0,0,0
ABW,1897,0,0,0,0,0,0
ABW,1898,0,0,0,0,0,0
ABW,1899,0,0,0,0,0,0
ABW,1900,0,0,0,0,0,0
ABW,1901,0,0,0,0,0,0
ABW,1902,0,0,0,0,0,0
ABW,1903,0,0,0,0,0,0
ABW,1904,0,0,0,0,0,0
ABW,1905,0,0,0,0,0,0
ABW,1906,0,0,0,0,0,0
ABW,1907,0,0,0,0,0,0
ABW,1908,0,0,0,0,0,0
ABW,1909,0,0,0,0,0,0
ABW,1910,0,0,0,0,0,0
ABW,1911,0,0,0,0,0,0
ABW,1912,0,0,0,0,0,0
ABW,1913,0,0,0,0,0,0
ABW,1914,0,0,0,0,0,0
ABW,1915,0,0,0,0,0,0
ABW,1916,0,0,0,0,0,0
ABW,1917,0,0,0,0,0,0
ABW,1918,0,0,0,0,0,0
ABW,1919,0,0,0,0,0,0
ABW,1920,0,0,0,0,0,0
ABW,1921,0,0,0,0,0,0
ABW,1922,0,0,0,0,0,0
ABW,1923,0,0,0,0,0,0
ABW,1924,0,0,0,0,0,0
ABW,1925,0,0,0,0,0,0
ABW,1926,0,0,0,0,0,0
ABW,1927,0,0,0,0,0,0
ABW,1928,0,0,0,0,0,0
ABW,1929,0,0,0,0,0,0
ABW,1930,0,0,0,0,0,0
ABW,1931,0,0,0,0,0,0
ABW,1932,0,0,0,0,0,0
ABW,1933,0,0,0,0,0,0
ABW,1934,0,0,0,0,0,0
ABW,1935,0,0,0,0,0,0
ABW,1936,0,0,0,0,0,0
ABW,1937,0,0,0,0,0,0
ABW,1938,0,0,0,0,0,0
ABW,1939,0,0,0,0,0,0
ABW,1940,0,0,0,0,0,0
ABW,1941,0,0,0,0,0,0
ABW,1942,0,0,0,0,0,0
ABW,1943,0,0,0,0,0,0
ABW,1944,0,0,0,0,0,0
ABW,1945,0,0,0,0,0,0
ABW,1946,0,0,0,0,0,0
ABW,1947,0,0,0,0,0,0
ABW,1948,0,0,0,0,0,0
ABW,1949,0,0,0,0,0,0
ABW,1950,0.41,0,0.41,0,0,0
ABW,1951,0.646,0,0.646,0,0,0
ABW,1952,0.373,0,0.373,0,0,0
ABW,1953,0.432,0,0.432,0,0,0
ABW,1954,0.873,0,0.873,0,0,0
ABW,1955,0.722,0,0.722,0,0,0
ABW,1956,0.934,0,0.934,0,0,0
ABW,1957,0.638,0,0.638,0,0,0
ABW,1958,0.559,0,0.559,0,0,0
ABW,1959,0.719,0,0.719,0,0,0
ABW,1960,0.619,0,0.619,0,0,0
ABW,1961,0.646,0,0.646,0,0,0
ABW,1962,0.709,0,0.709,0,0,0
ABW,1963,0.679,0,0.679,0,0,0
ABW,1964,0.66,0,0.66,0,0,0
ABW,1965,0.592,0,0.592,0,0,0
ABW,1966,0.554,0,0.554,0,0,0
ABW,1967,0.682,0,0.682,0,0,0
ABW,1968,0.635,0,0.635,0,0,0
ABW,1969,0.83,0,0.83,0,0,0
ABW,1970,0.929,0,0.929,0,0,0
ABW,1971,0.808,0,0.808,0,0,0
ABW,1972,0.784,0,0.784,0,0,0
ABW,1973,0.869,0,0.869,0,0,0
ABW,1974,0.788,0,0.788,0,0,0
ABW,1975,0.571,0,0.571,0,0,0
ABW,1976,1.219,0,1.219,0,0,0
ABW,1977,0.637,0,0.637,0,0,0
ABW,1978,0.542,0,0.542,0,0,0
ABW,1979,0.569,0,0.569,0,0,0
ABW,1980,0.585,0,0.585,0,0,0
ABW,1981,0.558,0,0.558,0,0,0
ABW,1982,0.623,0,0.623,0,0,0
ABW,1983,0.32,0,0.32,0,0,0
ABW,1984,0.8,0,0.8,0,0,0
ABW,1985,0.937,0,0.937,0,0,0
ABW,1986,0.18,0,0.18,0,0,0
ABW,1987,0.447,0,0.447,0,0,0
ABW,1988,0.612,0,0.612,0,0,0
ABW,1989,0.649,0,0.649,0,0,0
ABW,1990,0.487,0,0.487,0,0,0
ABW,1991,0.531,0,0.531,0,0,0
ABW,1992,0.539,0,0.539,0,0,0
ABW,1993,0.649,0,0.649,0,0,0
ABW,1994,0.66,0,0.66,0,0,0
ABW,1995,0.711,0,0.711,0,0,0
ABW,1996,0.722,0,0.722,0,0,0
ABW,1997,0.758,0,0.758,0,0,0
ABW,1998,0.806,0,0.806,0,0,0
ABW,1999,0.81,0,0.81,0,0,0
ABW,2000,2.378,0,2.378,0,0,0
ABW,2001,2.407,0,2.407,0,0,0
ABW,2002,2.437,0,2.437,0,0,0
ABW,2003,2.561,0,2.561,0,0,0
ABW,2004,2.616,0,2.616,0,0,0
ABW,2005,2.715,0,2.715,0,0,0
ABW,2006,2.711,0,2.711,0,0,0
ABW,2007,2.821,0,2.821,0,0,0
ABW,2008,2.656,0,2.656,0,0,0
ABW,2009,2.627,0,2.627,0,0,0
ABW,2010,2.506,0,2.506,0,0,0
ABW,2011,2.495,0,2.495,0,0,0
ABW,2012,1.345,0,1.345,0,0,0
ABW,2013,0.861,0,0.861,0,0,0
ABW,2014,0.872,0,0.872,0,0,0
ABW,2015,0.898,0,0.898,0,0,0
ABW,2016,0.883,0,0.883,0,0,0
ABW,2017,0.89,0,0.89,0,0,0
ABW,2018,0.868,0,0.868,0,0,0
ABW,2019,0.832,0,0.832,0,0,0
ABW,2020,0.821,0,0.821,0,0,0
ABW,2021,0.861,0,0.861,0,0,0
ABW,2022,0.888,0,0.888,0,0,0
ABW,2023,0.887,0,0.887,0,0,0
ABW,2024,0.921,0,0.921,0,0,0
AFG,1750,0,0,0,0,0,0
AFG,1751,0,0,0,0,0,0
AFG,1752,0,0,0,0,0,0
AFG,1753,0,0,0,0,0,0
AFG,1754,0,0,0,0,0,0
AFG,1755,0,0,0,0,0,0
AFG,1756,0,0,0,0,0,0
AFG,1757,0,0,0,0,0,0
AFG,1758,0,0,0,0,0,0
AFG,1759,0,0,0,0,0,0
AFG,1760,0,0,0,0,0,0
AFG,1761,0,0,0,0,0,0
AFG,1762,0,0,0,0,0,0
AFG,1763,0,0,0,0,0,0
AFG,1764,0,0,0,0,0,0
AFG,1765,0,0,0,0,0,0
AFG,1766,0,0,0,0,0,0
AFG,1767,0,0,0,0,0,0
AFG,1768,0,0,0,0,0,0
AFG,1769,0,0,0,0,0,0
AFG,1770,0,0,0,0,0,0
AFG,1771,0,0,0,0,0,0
AFG,1772,0,0,0,0,0,0
AFG,1773,0,0,0,0,0,0
AFG,1774,0,0,0,0,0,0
AFG,1775,0,0,0,0,0,0
AFG,1776,0,0,0,0,0,0
AFG,1777,0,0,0,0,0,0
AFG,1778,0,0,0,0,0,0
AFG,1779,0,0,0,0,0,0
AFG,1780,0,0,0,0,0,0
AFG,1781,0,0,0,0,0,0
AFG,1782,0,0,0,0,0,0
AFG,1783,0,0,0,0,0,0
AFG,1784,0,0,0,0,0,0
AFG,1785,0,0,0,0,0,0
AFG,1786,0,0,0,0,0,0
AFG,1787,0,0,0,0,0,0
AFG,1788,0,0,0,0,0,0
AFG,1789,0,0,0,0,0,0
AFG,1790,0,0,0,0,0,0
AFG,1791,0,0,0,0,0,0
AFG,1792,0,0,0,0,0,0
AFG,1793,0,0,0,0,0,0
AFG,1794,0,0,0,0,0,0
AFG,1795,0,0,0,0,0,0
AFG,1796,0,0,0,0,0,0
AFG,1797,0,0,0,0,0,0
AFG,1798,0,0,0,0,0,0
AFG,1799,0,0,0,0,0,0
AFG,1800,0,0,0,0,0,0
AFG,1801,0,0,0,0,0,0
AFG,1802,0,0,0,0,0,0
AFG,1803,0,0,0,0,0,0
AFG,1804,0,0,0,0,0,0
AFG,1805,0,0,0,0,0,0
AFG,1806,0,0,0,0,0,0
AFG,1807,0,0,0,0,0,0
AFG,1808,0,0,0,0,0,0
AFG,1809,0,0,0,0,0,0
AFG,1810,0,0,0,0,0,0
AFG,1811,0,0,0,0,0,0
AFG,1812,0,0,0,0,0,0
AFG,1813,0,0,0,0,0,0
AFG,1814,0,0,0,0,0,0
AFG,1815,0,0,0,0,0,0
AFG,1816,0,0,0,0,0,0
AFG,1817,0,0,0,0,0,0
AFG,1818,0,0,0,0,0,0
AFG,1819,0,0,0,0,0,0
AFG,1820,0,0,0,0,0,0
AFG,1821,0,0,0,0,0,0
AFG,1822,0,0,0,0,0,0
AFG,1823,0,0,0,0,0,0
AFG,1824,0,0,0,0,0,0
AFG,1825,0,0,0,0,0,0
AFG,1826,0,0,0,0,0,0
AFG,1827,0,0,0,0,0,0
AFG,1828,0,0,0,0,0,0
AFG,1829,0,0,0,0,0,0
AFG,1830,0,0,0,0,0,0
AFG,1831,0,0,0,0,0,0
AFG,1832,0,0,0,0,0,0
AFG,1833,0,0,0,0,0,0
AFG,1834,0,0,0,0,0,0
AFG,1835,0,0,0,0,0,0
AFG,1836,0,0,0,0,0,0
AFG,1837,0,0,0,0,0,0
AFG,1838,0,0,0,0,0,0
AFG,1839,0,0,0,0,0,0
AFG,1840,0,0,0,0,0,0
AFG,1841,0,0,0,0,0,0
AFG,1842,0,0,0,0,0,0
AFG,1843,0,0,0,0,0,0
AFG,1844,0,0,0,0,0,0
AFG,1845,0,0,0,0,0,0
AFG,1846,0,0,0,0,0,0
AFG,1847,0,0,0,0,0,0
AFG,1848,0,0,0,0,0,0
AFG,1849,0,0,0,0,0,0
AFG,1850,0,0,0,0,0,0
AFG,1851,0,0,0,0,0,0
AFG,1852,0,0,0,0,0,0
AFG,1853,0,0,0,0,0,0
AFG,1854,0,0,0,0,0,0
AFG,1855,0,0,0,0,0,0
AFG,1856,0,0,0,0,0,0
AFG,1857,0,0,0,0,0,0
AFG,1858,0,0,0,0,0,0
AFG,1859,0,0,0,0,0,0
AFG,1860,0,0,0,0,0,0
AFG,1861,0,0,0,0,0,0
AFG,1862,0,0,0,0,0,0
AFG,1863,0,0,0,0,0,0
AFG,1864,0,0,0,0,0,0
AFG,1865,0,0,0,0,0,0
AFG,1866,0,0,0,0,0,0
AFG,1867,0,0,0,0,0,0
AFG,1868,0,0,0,0,0,0
AFG,1869,0,0,0,0,0,0
AFG,1870,0,0,0,0,0,0
AFG,1871,0,0,0,0,0,0
AFG,1872,0,0,0,0,0,0
AFG,1873,0,0,0,0,0,0
AFG,1874,0,0,0,0,0,0
AFG,1875,0,0,0,0,0,0
AFG,1876,0,0,0,0,0,0
AFG,1877,0,0,0,0,0,0
AFG,1878,0,0,0,0,0,0
AFG,1879,0,0,0,0,0,0
AFG,1880,0,0,0,0,0,0
AFG,1881,0,0,0,0,0,0
AFG,1882,0,0,0,0,0,0
AFG,1883,0,0,0,0,0,0
AFG,1884,0,0,0,0,0,0
AFG,1885,0,0,0,0,0,0
AFG,1886,0,0,0,0,0,0
AFG,1887,0,0,0,0,0,0
AFG,1888,0,0,0,0,0,0
AFG,1889,0,0,0,0,0,0
AFG,1890,0,0,0,0,0,0
AFG,1891,0,0,0,0,0,0
AFG,1892,0,0,0,0,0,0
AFG,1893,0,0,0,0,0,0
AFG,1894,0,0,0,0,0,0
AFG,1895,0,0,0,0,0,0
AFG,1896,0,0,0,0,0,0
AFG,1897,0,0,0,0,0,0
AFG,1898,0,0,0,0,0,0
AFG,1899,0,0,0,0,0,0
AFG,1900,0,0,0,0,0,0
AFG,1901,0,0,0,0,0,0
AFG,1902,0,0,0,0,0,0
AFG,1903,0,0,0,0,0,0
AFG,1904,0,0,0,0,0,0
AFG,1905,0,0,0,0,0,0
AFG,1906,0,0,0,0,0,0
AFG,1907,0,0,0,0,0,0
AFG,1908,0,0,0,0,0,0
AFG,1909,0,0,0,0,0,0
AFG,1910,0,0,0,0,0,0
AFG,1911,0,0,0,0,0,0
AFG,1912,0,0,0,0,0,0
AFG,1913,0,0,0,0,0,0
AFG,1914,0,0,0,0,0,0
AFG,1915,0,0,0,0,0,0
AFG,1916,0,0,0,0,0,0
AFG,1917,0,0,0,0,0,0
AFG,1918,0,0,0,0,0,0
AFG,1919,0,0,0,0,0,0
AFG,1920,0,0,0,0,0,0
AFG,1921,0,0,0,0,0,0
AFG,1922,0,0,0,0,0,0
AFG,1923,0,0,0,0,0,0
AFG,1924,0,0,0,0,0,0
AFG,1925,0,0,0,0,0,0
AFG,1926,0,0,0,0,0,0
AFG,1927,0,0,0,0,0,0
AFG,1928,0,0,0,0,0,0
AFG,1929,0,0,0,0,0,0
AFG,1930,0,0,0,0,0,0
AFG,1931,0,0,0,0,0,0
AFG,1932,0,0,0,0,0,0
AFG,1933,0,0,0,0,0,0
AFG,1934,0,0,0,0,0,0
AFG,1935,0,0,0,0,0,0
AFG,1936,0,0,0,0,0,0
AFG,1937,0,0,0,0,0,0
AFG,1938,0,0,0,0,0,0
AFG,1939,0,0,0,0,0,0
AFG,1940,0,0,0,0,0,0
AFG,1941,0,0,0,0,0,0
AFG,1942,0,0,0,0,0,0
AFG,1943,0,0,0,0,0,0
AFG,1944,0,0,0,0,0,0
AFG,1945,0,0,0,0,0,0
AFG,1946,0,0,0,0,0,0
AFG,1947,0,0,0,0,0,0
AFG,1948,0,0,0,0,0,0
AFG,1949,0.015,0.015,0,0,0,0
AFG,1950,0.084,0.021,0.063,0,0,0
AFG,1951,0.092,0.026,0.066,0,0,0
AFG,1952,0.092,0.032,0.06,0,0,0
AFG,1953,0.106,0.038,0.068,0,0,0
AFG,1954,0.106,0.043,0.064,0,0,0
AFG,1955,0.154,0.062,0.092,0,0,0
AFG,1956,0.183,0.062,0.121,0,0,0
AFG,1957,0.293,0.077,0.216,0,0,0
AFG,1958,0.33,0.092,0.238,0,0,0
AFG,1959,0.385,0.11,0.256,0.018,0,0
AFG,1960,0.414,0.127,0.269,0.018,0,0
AFG,1961,0.491,0.176,0.293,0.022,0,0
AFG,1962,0.689,0.297,0.363,0.029,0,0
AFG,1963,0.707,0.264,0.392,0.051,0,0
AFG,1964,0.839,0.3,0.476,0.062,0,0
AFG,1965,1.007,0.381,0.542,0.084,0,0
AFG,1966,1.091,0.429,0.575,0.087,0,0
AFG,1967,1.282,0.399,0.557,0.065,0.26,0
AFG,1968,1.223,0.332,0.497,0.047,0.347,0
AFG,1969,0.941,0.363,0.528,0.051,0,0
AFG,1970,1.67,0.437,0.672,0.047,0.217,0.297
AFG,1971,1.894,0.359,0.747,0.043,0.44,0.304
AFG,1972,1.53,0.191,0.627,0.046,0.3,0.366
AFG,1973,1.635,0.311,0.702,0.067,0.333,0.223
AFG,1974,1.913,0.305,0.771,0.07,0.4,0.367
AFG,1975,2.121,0.399,0.874,0.069,0.475,0.304
AFG,1976,1.981,0.425,0.883,0.079,0.3,0.293
AFG,1977,2.384,0.451,0.975,0.065,0.513,0.381
AFG,1978,2.153,0.576,0.936,0.058,0.301,0.283
AFG,1979,2.233,0.352,1.165,0.064,0.385,0.267
AFG,1980,1.756,0.316,0.925,0.023,0.187,0.305
AFG,1981,1.978,0.333,1.015,0.033,0.304,0.293
AFG,1982,2.095,0.385,0.993,0.039,0.396,0.282
AFG,1983,2.52,0.385,1.22,0.006,0.616,0.293
AFG,1984,2.822,0.393,1.134,0.048,0.932,0.316
AFG,1985,3.501,0.4,1.548,0.032,1.192,0.33
AFG,1986,3.134,0.425,1.14,0.038,1.202,0.33
AFG,1987,3.114,0.443,2.013,0.043,0.392,0.223
AFG,1988,2.857,0.366,1.821,0.043,0.44,0.187
AFG,1989,2.765,0.337,1.865,0.043,0.48,0.04
AFG,1990,2.024,0.278,1.271,0.046,0.403,0.026
AFG,1991,1.914,0.25,1.204,0.046,0.389,0.026
AFG,1992,1.482,0.022,1.03,0.046,0.363,0.022
AFG,1993,1.487,0.018,1.048,0.047,0.352,0.022
AFG,1994,1.454,0.015,1.032,0.047,0.338,0.022
AFG,1995,1.417,0.015,1.011,0.047,0.322,0.022
AFG,1996,1.37,0.007,0.986,0.047,0.308,0.022
AFG,1997,1.304,0.004,0.949,0.047,0.282,0.022
AFG,1998,1.279,0.004,0.942,0.047,0.264,0.022
AFG,1999,1.092,0.004,0.777,0.047,0.242,0.022
AFG,2000,1.047,0.004,0.788,0.01,0.224,0.022
AFG,2001,1.069,0.07,0.762,0.007,0.209,0.022
AFG,2002,1.341,0.055,0.729,0.011,0.546,0
AFG,2003,1.56,0.092,0.993,0.01,0.465,0
AFG,2004,1.237,0.092,0.909,0.01,0.227,0
AFG,2005,1.89,0.106,1.447,0.006,0.33,0
AFG,2006,2.159,0.161,1.657,0.012,0.329,0
AFG,2007,2.8,0.747,1.733,0.012,0.308,0
AFG,2008,4.254,1.077,2.865,0.015,0.297,0
AFG,2009,6.388,1.513,4.591,0.013,0.271,0
AFG,2010,8.365,2.246,5.833,0.015,0.271,0
AFG,2011,11.41,3.749,7.338,0.015,0.308,0
AFG,2012,9.731,2.821,6.573,0.029,0.308,0
AFG,2013,8.891,2.97,5.589,0.036,0.297,0
AFG,2014,8.698,3.239,5.159,0.029,0.271,0
AFG,2015,9.384,2.439,6.622,0.041,0.282,0
AFG,2016,8.606,2.421,5.79,0.076,0.319,0
AFG,2017,9.311,2.893,6.073,0.045,0.3,0
AFG,2018,10.192,3.221,6.621,0.057,0.293,0
AFG,2019,10.4,3.273,6.843,0.038,0.246,0
AFG,2020,11.119,3.635,7.269,0.061,0.154,0
AFG,2021,9.869,2.993,6.701,0.016,0.158,0
AFG,2022,10.17,3.488,6.528,0.011,0.143,0
AFG,2023,10.516,3.867,6.498,0.011,0.141,0
AFG,2024,10.826,3.894,6.795,0.011,0.126,0
AGO,1850,0,0,0,0,0,0
AGO,1851,0,0,0,0,0,0
AGO,1852,0,0,0,0,0,0
AGO,1853,0,0,0,0,0,0
AGO,1854,0,0,0,0,0,0
AGO,1855,0,0,0,0,0,0
AGO,1856,0,0,0,0,0,0
AGO,1857,0,0,0,0,0,0
AGO,1858,0,0,0,0,0,0
AGO,1859,0,0,0,0,0,0
AGO,1860,0,0,0,0,0,0
AGO,1861,0,0,0,0,0,0
AGO,1862,0,0,0,0,0,0
AGO,1863,0,0,0,0,0,0
AGO,1864,0,0,0,0,0,0
AGO,1865,0,0,0,0,0,0
AGO,1866,0,0,0,0,0,0
AGO,1867,0,0,0,0,0,0
AGO,1868,0,0,0,0,0,0
AGO,1869,0,0,0,0,0,0
AGO,1870,0,0,0,0,0,0
AGO,1871,0,0,0,0,0,0
AGO,1872,0,0,0,0,0,0
AGO,1873,0,0,0,0,0,0
AGO,1874,0,0,0,0,0,0
AGO,1875,0,0,0,0,0,0
AGO,1876,0,0,0,0,0,0
AGO,1877,0,0,0,0,0,0
AGO,1878,0,0,0,0,0,0
AGO,1879,0,0,0,0,0,0
AGO,1880,0,0,0,0,0,0
AGO,1881,0,0,0,0,0,0
AGO,1882,0,0,0,0,0,0
AGO,1883,0,0,0,0,0,0
AGO,1884,0,0,0,0,0,0
AGO,1885,0,0,0,0,0,0
AGO,1886,0,0,0,0,0,0
AGO,1887,0,0,0,0,0,0
AGO,1888,0,0,0,0,0,0
AGO,1889,0,0,0,0,0,0
AGO,1890,0,0,0,0,0,0
AGO,1891,0,0,0,0,0,0
AGO,1892,0,0,0,0,0,0
AGO,1893,0,0,0,0,0,0
AGO,1894,0,0,0,0,0,0
AGO,1895,0,0,0,0,0,0
AGO,1896,0,0,0,0,0,0
AGO,1897,0,0,0,0,0,0
AGO,1898,0,0,0,0,0,0
AGO,1899,0,0,0,0,0,0
AGO,1900,0,0,0,0,0,0
AGO,1901,0,0,0,0,0,0
AGO,1902,0,0,0,0,0,0
AGO,1903,0,0,0,0,0,0
AGO,1904,0,0,0,0,0,0
AGO,1905,0,0,0,0,0,0
AGO,1906,0,0,0,0,0,0
AGO,1907,0,0,0,0,0,0
AGO,1908,0,0,0,0,0,0
AGO,1909,0,0,0,0,0,0
AGO,1910,0,0,0,0,0,0
AGO,1911,0,0,0,0,0,0
AGO,1912,0,0,0,0,0,0
AGO,1913,0,0,0,0,0,0
AGO,1914,0,0,0,0,0,0
AGO,1915,0,0,0,0,0,0
AGO,1916,0,0,0,0,0,0
AGO,1917,0,0,0,0,0,0
AGO,1918,0,0,0,0,0,0
AGO,1919,0,0,0,0,0,0
AGO,1920,0,0,0,0,0,0
AGO,1921,0,0,0,0,0,0
AGO,1922,0,0,0,0,0,0
AGO,1923,0,0,0,0,0,0
AGO,1924,0,0,0,0,0,0
AGO,1925,0,0,0,0,0,0
AGO,1926,0,0,0,0,0,0
AGO,1927,0,0,0,0,0,0
AGO,1928,0,0,0,0,0,0
AGO,1929,0,0,0,0,0,0
AGO,1930,0,0,0,0,0,0
AGO,1931,0,0,0,0,0,0
AGO,1932,0,0,0,0,0,0
AGO,1933,0,0,0,0,0,0
AGO,1934,0,0,0,0,0,0
AGO,1935,0,0,0,0,0,0
AGO,1936,0,0,0,0,0,0
AGO,1937,0,0,0,0,0,0
AGO,1938,0,0,0,0,0,0
AGO,1939,0,0,0,0,0,0
AGO,1940,0,0,0,0,0,0
