country_code,year,co2_mt,co2_per_capita
AR,1900,2.026,0.432
AR,1901,2.408,0.496
AR,1902,2.555,0.507
AR,1903,2.923,0.559
AR,1904,3.739,0.689
AR,1905,4.655,0.826
AR,1906,6.214,1.062
AR,1907,5.458,0.898
AR,1908,5.895,0.935
AR,1909,5.465,0.837
AR,1910,6.925,1.026
AR,1911,8.445,1.214
AR,1912,8.567,1.198
AR,1913,9.347,1.273
AR,1914,8.294,1.101
AR,1915,5.522,0.714
AR,1916,4.215,0.531
AR,1917,2.411,0.296
AR,1918,1.569,0.188
AR,1919,3.41,0.397
AR,1920,5.609,0.636
AR,1921,4.761,0.525
AR,1922,6.056,0.649
AR,1923,7.343,0.764
AR,1924,9.864,0.996
AR,1925,10.157,0.996
AR,1926,10.323,0.983
AR,1927,12.499,1.156
AR,1928,12.191,1.094
AR,1929,12.607,1.102
AR,1930,12.338,1.052
AR,1931,12.466,1.04
AR,1932,12.898,1.055
AR,1933,13.524,1.087
AR,1934,14.66,1.158
AR,1935,14.432,1.12
AR,1936,15.317,1.168
AR,1937,16.408,1.229
AR,1938,16.175,1.191
AR,1939,16.485,1.192
AR,1940,15.648,1.111
AR,1941,13.94,0.972
AR,1942,13.479,0.922
AR,1943,14.077,0.945
AR,1944,13.952,0.919
AR,1945,13.666,0.883
AR,1946,13.702,0.869
AR,1947,14.515,0.903
AR,1948,17.392,1.061
AR,1949,15.365,0.92
AR,1950,29.921,1.758
AR,1951,34.963,2.014
AR,1952,36.099,2.04
AR,1953,35.135,1.947
AR,1954,36.75,1.999
AR,1955,39.56,2.114
AR,1956,44.297,2.325
AR,1957,47.608,2.456
AR,1958,44.193,2.242
AR,1959,48.949,2.441
AR,1960,48.764,2.392
AR,1961,51.127,2.467
AR,1962,53.64,2.545
AR,1963,50.033,2.336
AR,1964,55.67,2.557
AR,1965,58.805,2.659
AR,1966,63.073,2.809
AR,1967,65.476,2.872
AR,1968,69.009,2.981
AR,1969,77.249,3.286
AR,1970,82.648,3.461
AR,1971,88.85,3.663
AR,1972,90.073,3.655
AR,1973,93.984,3.752
AR,1974,95.492,3.75
AR,1975,94.86,3.666
AR,1976,99.718,3.794
AR,1977,100.729,3.772
AR,1978,102.583,3.781
AR,1979,110.649,4.014
AR,1980,108.695,3.88
AR,1981,102.009,3.584
AR,1982,103.388,3.574
AR,1983,105.182,3.579
AR,1984,106.492,3.566
AR,1985,100.569,3.315
AR,1986,104.199,3.382
AR,1987,114.936,3.673
AR,1988,121.464,3.822
AR,1989,117.067,3.628
AR,1990,112.188,3.425
AR,1991,117.727,3.543
AR,1992,121.514,3.606
AR,1993,118.021,3.456
AR,1994,118.507,3.424
AR,1995,125.415,3.576
AR,1996,131.446,3.701
AR,1997,136.617,3.8
AR,1998,139.505,3.835
AR,1999,148.345,4.032
AR,2000,143.355,3.852
AR,2001,135.004,3.588
AR,2002,124.93,3.285
AR,2003,134.421,3.498
AR,2004,157.235,4.051
AR,2005,161.728,4.124
AR,2006,174.342,4.4
AR,2007,173.764,4.342
AR,2008,187.596,4.641
AR,2009,178.378,4.366
AR,2010,186.121,4.508
AR,2011,189.884,4.55
AR,2012,191.715,4.547
AR,2013,189.525,4.451
AR,2014,188.539,4.382
AR,2015,191.809,4.412
AR,2016,190.02,4.328
AR,2017,187.068,4.224
AR,2018,182.483,4.087
AR,2019,180.428,4.012
AR,2020,164.613,3.643
AR,2021,190.197,4.197
AR,2022,183.768,4.047
AR,2023,178.407,3.918
AR,2024,171.059,3.743
AU,1900,10.168,2.753
AU,1901,11.439,3.046
AU,1902,11.395,2.986
AU,1903,11.224,2.897
AU,1904,11.544,2.934
AU,1905,12.052,3.016
AU,1906,14.358,3.538
AU,1907,15.487,3.758
AU,1908,16.792,4.012
AU,1909,14.58,3.427
AU,1910,17.707,4.09
AU,1911,19.527,4.429
AU,1912,21.211,4.72
AU,1913,22.801,4.973
AU,1914,24.922,5.328
AU,1915,22.269,4.666
AU,1916,19.854,4.078
AU,1917,21.334,4.295
AU,1918,23.365,4.609
AU,1919,22.185,4.29
AU,1920,26.306,4.988
AU,1921,23.785,4.423
AU,1922,24.922,4.547
AU,1923,25.684,4.598
AU,1924,28.191,4.953
AU,1925,29.632,5.109
AU,1926,29.587,5.006
AU,1927,31.269,5.192
AU,1928,29.019,4.728
AU,1929,26.906,4.311
AU,1930,25.899,4.09
AU,1931,22.551,3.517
AU,1932,23.051,3.557
AU,1933,24.782,3.792
AU,1934,26.209,3.976
AU,1935,28.958,4.356
AU,1936,31.514,4.701
AU,1937,33.756,4.992
AU,1938,33.697,4.942
AU,1939,37.984,5.515
AU,1940,35.346,5.073
AU,1941,39.335,5.572
AU,1942,42.027,5.867
AU,1943,41.194,5.659
AU,1944,41.027,5.547
AU,1945,39.16,5.21
AU,1946,42.74,5.596
AU,1947,44.777,5.769
AU,1948,47.013,5.961
AU,1949,48.064,5.989
AU,1950,55.636,6.804
AU,1951,61.051,7.252
AU,1952,62.406,7.231
AU,1953,63.003,7.146
AU,1954,67.921,7.547
AU,1955,71.946,7.816
AU,1956,75.471,8.008
AU,1957,75.474,7.83
AU,1958,77.929,7.913
AU,1959,83.068,8.257
AU,1960,87.441,8.505
AU,1961,87.008,8.286
AU,1962,90.909,8.49
AU,1963,95.995,8.796
AU,1964,103.545,9.305
AU,1965,113.606,10.003
AU,1966,115.736,9.984
AU,1967,122.281,10.354
AU,1968,128.768,10.704
AU,1969,136.414,11.115
AU,1970,147.863,11.736
AU,1971,151.118,11.626
AU,1972,153.598,11.544
AU,1973,170.142,12.586
AU,1974,166.183,12.113
AU,1975,173.102,12.459
AU,1976,169.803,12.088
AU,1977,181.913,12.808
AU,1978,191.052,13.298
AU,1979,192.322,13.233
AU,1980,204.37,13.883
AU,1981,213.81,14.302
